Player,Height,Weight,Age,School,BDate
Markieff Morris,82,245,24,Kansas,02-09-1989
Kendall Marshall,76,195,22,North Carolina,19-08-1991
Marcus Morris,81,235,24,Kansas,02-09-1989
P.J. Tucker,77,225,28,Texas,05-05-1985
Shannon Brown,76,210,27,Michigan State,29-11-1985
DeQuan Jones,80,221,23,Miami-Florida,20-06-1990
Trent Lockett,77,210,22,Marquette,10-12-1990
Ray McCallum,75,190,22,Detroit,12-06-1991
John Salmons,78,207,33,Miami-Florida,12-12-1979
Jimmer Fredette,74,195,24,BYU,25-02-1989
Patrick Patterson,81,235,24,Kentucky,14-03-1989
Greivis Vasquez,78,211,26,Maryland,16-01-1987
DeMarcus Cousins,83,270,23,Kentucky,13-08-1990
Ben McLemore,77,195,20,Kansas,11-02-1993
Isaiah Thomas,69,185,24,Washington,07-02-1989
Marcus Thornton,76,205,26,LSU,05-06-1987
Carl Landry,81,248,30,Purdue,19-09-1983
Travis Outlaw,81,207,29,None,18-09-1984
Luc Mbah a Moute,80,230,27,UCLA,09-09-1986
Jason Thompson,83,250,27,Rider,21-07-1986
Chuck Hayes,78,238,30,Kentucky,11-06-1983
Cole Aldrich,83,245,24,Kansas,31-10-1988
James Johnson,81,248,26,Wake Forest,20-02-1987
